TITLE = "B00001"
VARIABLES = "position", "position(2)", "Avg Vx"
ZONE T="Frame 1" I=102, J=78, F=POINT
-55.552399 103.221001 0.000000
-53.611710 103.221001 8.702992
-51.671021 103.221001 9.626908
-49.730328 103.221001 8.883067
-47.789639 103.221001 10.230554
-45.848949 103.221001 10.602777
-43.908257 103.221001 7.023383
-41.967567 103.221001 6.478216
-40.026878 103.221001 9.194828
-38.086189 103.221001 0.000000
-36.145500 103.221001 0.000000
-34.204807 103.221001 0.000000
-32.264118 103.221001 0.000000
-30.323429 103.221001 0.000000
-28.382738 103.221001 0.000000
-26.442047 103.221001 0.000000
-24.501358 103.221001 0.000000
-22.560669 103.221001 0.000000
-20.619980 103.221001 0.000000
-18.679287 103.221001 0.000000
-16.738598 103.221001 0.000000
-14.797909 103.221001 0.000000
-12.857216 103.221001 5.710587
-10.916527 103.221001 6.151390
-8.975838 103.221001 7.982328
-7.035149 103.221001 8.937293
-5.094460 103.221001 7.868177
-3.153767 103.221001 9.281340
-1.213078 103.221001 11.771888
0.727612 103.221001 10.738802
2.668304 103.221001 9.802218
4.608994 103.221001 7.139437
6.549683 103.221001 8.977570
8.490372 103.221001 10.635522
10.431061 103.221001 9.484549
12.371750 103.221001 10.917852
14.312439 103.221001 12.339878
16.253136 103.221001 12.780065
18.193825 103.221001 7.998201
20.134514 103.221001 8.540863
22.075203 103.221001 11.448663
24.015892 103.221001 12.140963
25.956581 103.221001 12.871408
27.897270 103.221001 12.305462
29.837967 103.221001 13.627751
31.778656 103.221001 16.417747
33.719345 103.221001 13.360664
35.660034 103.221001 10.960505
37.600723 103.221001 10.546403
39.541412 103.221001 12.610804
41.482101 103.221001 15.022297
43.422791 103.221001 7.776268
45.363480 103.221001 6.701701
47.304176 103.221001 9.520628
49.244865 103.221001 9.940987
51.185555 103.221001 7.233591
53.126244 103.221001 7.477101
55.066933 103.221001 8.854706
57.007622 103.221001 0.000000
58.948311 103.221001 0.000000
60.889008 103.221001 0.000000
62.829697 103.221001 0.000000
64.770386 103.221001 0.000000
66.711075 103.221001 8.492896
68.651764 103.221001 8.963828
70.592453 103.221001 9.363348
72.533142 103.221001 8.180148
74.473831 103.221001 7.791958
76.414520 103.221001 8.247134
78.355209 103.221001 7.732426
80.295898 103.221001 8.529408
82.236588 103.221001 9.659198
84.177277 103.221001 9.303342
86.117981 103.221001 10.059164
88.058670 103.221001 8.901400
89.999359 103.221001 8.581752
91.940048 103.221001 11.109920
93.880737 103.221001 10.911318
95.821426 103.221001 7.372941
97.762115 103.221001 6.826180
99.702805 103.221001 6.566338
101.643494 103.221001 7.535844
103.584183 103.221001 8.597483
105.524872 103.221001 8.288358
107.465561 103.221001 6.993700
109.406250 103.221001 5.430176
111.346939 103.221001 5.982728
113.287628 103.221001 7.391098
115.228333 103.221001 7.150265
117.169022 103.221001 6.855583
119.109711 103.221001 6.778283
121.050400 103.221001 7.165937
122.991089 103.221001 7.327441
124.931778 103.221001 11.153121
126.872467 103.221001 11.209029
128.813156 103.221001 9.720333
130.753845 103.221001 7.565961
132.694534 103.221001 7.965958
134.635223 103.221001 8.041821
136.575912 103.221001 8.075284
138.516602 103.221001 9.618772
140.457291 103.221001 0.000000
-55.552399 101.280312 9.199944
-53.611710 101.280312 8.160397
-51.671021 101.280312 9.025905
-49.730328 101.280312 9.310122
-47.789639 101.280312 9.741294
-45.848949 101.280312 9.673211
-43.908257 101.280312 6.889238
-41.967567 101.280312 4.694957
-40.026878 101.280312 6.921442
-38.086189 101.280312 0.000000
-36.145500 101.280312 0.000000
-34.204807 101.280312 0.000000
-32.264118 101.280312 0.000000
-30.323429 101.280312 0.000000
-28.382738 101.280312 0.000000
