TITLE = "B00002"
VARIABLES = "position", "position(2)", "Avg Vy"
ZONE T="Frame 1" I=102, J=78, F=POINT
-55.552399 103.221001 0.000000
-53.611710 103.221001 0.933271
-51.671021 103.221001 0.067353
-49.730328 103.221001 0.092250
-47.789639 103.221001 0.141428
-45.848949 103.221001 0.580487
-43.908257 103.221001 0.417173
-41.967567 103.221001 0.551605
-40.026878 103.221001 0.399433
-38.086189 103.221001 0.000000
-36.145500 103.221001 0.000000
-34.204807 103.221001 0.000000
-32.264118 103.221001 0.000000
-30.323429 103.221001 0.000000
-28.382738 103.221001 0.000000
-26.442047 103.221001 0.000000
-24.501358 103.221001 0.000000
-22.560669 103.221001 0.000000
-20.619980 103.221001 0.000000
-18.679287 103.221001 0.000000
-16.738598 103.221001 0.000000
-14.797909 103.221001 0.000000
-12.857216 103.221001 0.661417
-10.916527 103.221001 0.639807
-8.975838 103.221001 0.680985
-7.035149 103.221001 0.908632
-5.094460 103.221001 0.590164
-3.153767 103.221001 0.754251
-1.213078 103.221001 0.612414
0.727612 103.221001 0.641705
2.668304 103.221001 0.775987
4.608994 103.221001 0.642002
6.549683 103.221001 0.875169
8.490372 103.221001 0.751377
10.431061 103.221001 0.401523
12.371750 103.221001 0.665873
14.312439 103.221001 0.442311
16.253136 103.221001 0.828534
18.193825 103.221001 0.765026
20.134514 103.221001 0.526232
22.075203 103.221001 0.466519
24.015892 103.221001 0.501508
25.956581 103.221001 0.941753
27.897270 103.221001 0.897794
29.837967 103.221001 0.595541
31.778656 103.221001 0.694445
33.719345 103.221001 1.069447
35.660034 103.221001 1.266747
37.600723 103.221001 1.019678
39.541412 103.221001 0.410548
41.482101 103.221001 0.427883
43.422791 103.221001 0.386206
45.363480 103.221001 0.563341
47.304176 103.221001 0.152795
49.244865 103.221001 0.599609
51.185555 103.221001 0.643355
53.126244 103.221001 0.816690
55.066933 103.221001 0.665805
57.007622 103.221001 0.000000
58.948311 103.221001 0.000000
60.889008 103.221001 0.000000
62.829697 103.221001 0.000000
64.770386 103.221001 0.000000
66.711075 103.221001 0.024783
68.651764 103.221001 0.516773
70.592453 103.221001 0.570197
72.533142 103.221001 0.076887
74.473831 103.221001 0.154538
76.414520 103.221001 0.091953
78.355209 103.221001 0.234603
80.295898 103.221001 -0.108388
82.236588 103.221001 0.217800
84.177277 103.221001 0.157858
86.117981 103.221001 0.210833
88.058670 103.221001 0.377596
89.999359 103.221001 0.067691
91.940048 103.221001 -0.354317
93.880737 103.221001 -0.085095
95.821426 103.221001 0.061033
97.762115 103.221001 0.018819
99.702805 103.221001 -0.081804
101.643494 103.221001 0.189117
103.584183 103.221001 0.071842
105.524872 103.221001 0.083965
107.465561 103.221001 -0.100186
109.406250 103.221001 -0.160849
111.346939 103.221001 -0.312913
113.287628 103.221001 -0.319539
115.228333 103.221001 -0.204208
117.169022 103.221001 -0.205433
119.109711 103.221001 -0.000006
121.050400 103.221001 0.024902
122.991089 103.221001 0.018204
124.931778 103.221001 -0.359333
126.872467 103.221001 0.018094
128.813156 103.221001 -0.048250
130.753845 103.221001 -0.202851
132.694534 103.221001 -0.207850
134.635223 103.221001 -0.284047
136.575912 103.221001 -0.060028
138.516602 103.221001 -0.089722
140.457291 103.221001 0.000000
-55.552399 101.280312 2.216663
-53.611710 101.280312 0.456270
-51.671021 101.280312 0.723907
-49.730328 101.280312 0.576463
-47.789639 101.280312 0.210453
-45.848949 101.280312 0.377770
-43.908257 101.280312 0.177934
-41.967567 101.280312 0.627217
-40.026878 101.280312 0.497511
-38.086189 101.280312 0.000000
-36.145500 101.280312 0.000000
-34.204807 101.280312 0.000000
-32.264118 101.280312 0.000000
-30.323429 101.280312 0.000000
-28.382738 101.280312 0.000000
-26.442047 101.280312 0.000000
-24.501358 101.280312 0.000000
-22.560669 101.280312 0.000000
-20.619980 101.280312 0.000000
-18.679287 101.280312 0.000000
-16.738598 101.280312 0.000000
-14.797909 101.280312 0.000000
-12.857216 101.280312 0.719900
-10.916527 101.280312 0.672767
-8.975838 101.280312 0.789160
-7.035149 101.280312 0.656188
-5.094460 101.280312 0.917988
-3.153767 101.280312 0.662367
-1.213078 101.280312 0.608784
0.727612 101.280312 0.793850
2.668304 101.280312 0.838985
4.608994 101.280312 0.737869
6.549683 101.280312 0.725710
8.490372 101.280312 0.901121
10.431061 101.280312 0.620517
12.371750 101.280312 1.402008
14.312439 101.280312 0.809179
16.253136 101.280312 1.243360
18.193825 101.280312 0.793189
20.134514 101.280312 0.657698
22.075203 101.280312 0.876724
24.015892 101.280312 0.935209
25.956581 101.280312 0.807940
27.897270 101.280312 0.467384
29.837967 101.280312 0.753507
31.778656 101.280312 0.353003
33.719345 101.280312 1.392937
35.660034 101.280312 0.929298
37.600723 101.280312 0.873514
39.541412 101.280312 0.610253
41.482101 101.280312 0.748818
43.422791 101.280312 0.358226
45.363480 101.280312 0.990110
47.304176 101.280312 0.662573
49.244865 101.280312 0.564149
51.185555 101.280312 0.587713
53.126244 101.280312 0.564610
55.066933 101.280312 0.305995
57.007622 101.280312 0.000000
58.948311 101.280312 0.000000
60.889008 101.280312 0.000000
62.829697 101.280312 0.000000
64.770386 101.280312 0.000000
66.711075 101.280312 0.114417
68.651764 101.280312 0.424932
70.592453 101.280312 0.443829
72.533142 101.280312 0.362636
74.473831 101.280312 0.096033
76.414520 101.280312 0.131410
78.355209 101.280312 0.165366
80.295898 101.280312 -0.125818
82.236588 101.280312 -0.007875
84.177277 101.280312 -0.048788
86.117981 101.280312 0.106256
88.058670 101.280312 0.154448
89.999359 101.280312 -0.241958
91.940048 101.280312 -0.448192
