TITLE = "B00002"
VARIABLES = "position", "position(2)", "Avg Vy"
ZONE T="Frame 1" I=102, J=78, F=POINT
-55.552399 103.221001 0.000000
-53.611710 103.221001 -0.957233
-51.671021 103.221001 0.256389
-49.730328 103.221001 0.362179
-47.789639 103.221001 0.418098
-45.848949 103.221001 1.055774
-43.908257 103.221001 0.386277
-41.967567 103.221001 0.354265
-40.026878 103.221001 0.551751
-38.086189 103.221001 1.599040
-36.145500 103.221001 6.019124
-34.204807 103.221001 2.835325
-32.264118 103.221001 5.763208
-30.323429 103.221001 9.207692
-28.382738 103.221001 1.988967
-26.442047 103.221001 3.196200
-24.501358 103.221001 8.204698
-22.560669 103.221001 5.706491
-20.619980 103.221001 1.017906
-18.679287 103.221001 1.211251
-16.738598 103.221001 0.433752
-14.797909 103.221001 0.202745
-12.857216 103.221001 0.272265
-10.916527 103.221001 0.522137
-8.975838 103.221001 0.495762
-7.035149 103.221001 0.159966
-5.094460 103.221001 -0.098498
-3.153767 103.221001 0.104418
-1.213078 103.221001 -0.054882
0.727612 103.221001 -0.046738
2.668304 103.221001 0.404500
4.608994 103.221001 0.415349
6.549683 103.221001 0.168242
8.490372 103.221001 0.124887
10.431061 103.221001 0.066862
12.371750 103.221001 -0.250132
14.312439 103.221001 -0.620145
16.253136 103.221001 -0.093339
18.193825 103.221001 -0.327232
20.134514 103.221001 -0.096380
22.075203 103.221001 0.577795
24.015892 103.221001 0.467699
25.956581 103.221001 0.662520
27.897270 103.221001 -0.012496
29.837967 103.221001 -0.029227
31.778656 103.221001 -0.016319
33.719345 103.221001 -0.290622
35.660034 103.221001 -0.638414
37.600723 103.221001 -0.212293
39.541412 103.221001 -0.307991
41.482101 103.221001 0.209534
43.422791 103.221001 0.258893
45.363480 103.221001 -0.385896
47.304176 103.221001 -0.050215
49.244865 103.221001 -0.173153
51.185555 103.221001 -0.175354
53.126244 103.221001 -0.957214
55.066933 103.221001 -0.093039
57.007622 103.221001 -0.054369
58.948311 103.221001 0.048689
60.889008 103.221001 -0.033105
62.829697 103.221001 0.488047
64.770386 103.221001 -0.398113
66.711075 103.221001 1.204746
68.651764 103.221001 0.024899
70.592453 103.221001 -0.268056
72.533142 103.221001 -0.170255
74.473831 103.221001 0.073396
76.414520 103.221001 -0.211595
78.355209 103.221001 0.046862
80.295898 103.221001 0.271649
82.236588 103.221001 0.643029
84.177277 103.221001 0.692773
86.117981 103.221001 0.251898
88.058670 103.221001 -0.281737
89.999359 103.221001 -0.401059
91.940048 103.221001 -0.130061
93.880737 103.221001 0.069777
95.821426 103.221001 -0.288271
97.762115 103.221001 0.046716
99.702805 103.221001 0.358663
101.643494 103.221001 0.019039
103.584183 103.221001 -0.138457
105.524872 103.221001 0.126498
107.465561 103.221001 0.167693
109.406250 103.221001 -0.325035
111.346939 103.221001 -0.215943
113.287628 103.221001 -0.085943
115.228333 103.221001 -0.007643
117.169022 103.221001 0.164038
119.109711 103.221001 0.189920
121.050400 103.221001 0.162451
122.991089 103.221001 -0.192842
124.931778 103.221001 -0.158536
126.872467 103.221001 -0.275585
128.813156 103.221001 -0.113539
130.753845 103.221001 -0.085074
132.694534 103.221001 0.106647
134.635223 103.221001 0.190682
136.575912 103.221001 0.078445
138.516602 103.221001 -0.113290
140.457291 103.221001 0.000000
-55.552399 101.280312 2.423039
-53.611710 101.280312 0.420344
-51.671021 101.280312 -2.492498
-49.730328 101.280312 -0.777258
-47.789639 101.280312 0.180413
-45.848949 101.280312 -0.441763
-43.908257 101.280312 -0.218127
-41.967567 101.280312 0.479438
-40.026878 101.280312 0.827016
-38.086189 101.280312 1.782893
-36.145500 101.280312 4.982741
-34.204807 101.280312 6.818497
-32.264118 101.280312 -0.273791
-30.323429 101.280312 13.445787
-28.382738 101.280312 -1.201227
-26.442047 101.280312 5.472362
-24.501358 101.280312 5.414471
-22.560669 101.280312 7.890494
-20.619980 101.280312 3.337559
-18.679287 101.280312 0.841835
-16.738598 101.280312 0.333544
-14.797909 101.280312 0.222096
-12.857216 101.280312 0.268298
-10.916527 101.280312 0.286217
-8.975838 101.280312 0.204665
-7.035149 101.280312 0.046247
-5.094460 101.280312 0.093064
-3.153767 101.280312 0.316200
-1.213078 101.280312 0.063530
0.727612 101.280312 0.081459
2.668304 101.280312 0.329336
4.608994 101.280312 0.382399
6.549683 101.280312 0.425949
8.490372 101.280312 0.111113
10.431061 101.280312 -0.043560
12.371750 101.280312 -0.175319
14.312439 101.280312 0.195723
16.253136 101.280312 0.028118
18.193825 101.280312 -0.248568
20.134514 101.280312 -0.000542
22.075203 101.280312 -0.931608
24.015892 101.280312 0.506997
25.956581 101.280312 0.109667
27.897270 101.280312 -0.102895
29.837967 101.280312 -0.007289
31.778656 101.280312 -0.270707
33.719345 101.280312 -0.397415
35.660034 101.280312 -0.434384
37.600723 101.280312 -0.159261
39.541412 101.280312 0.163803
41.482101 101.280312 0.425546
43.422791 101.280312 0.213730
45.363480 101.280312 -0.425732
47.304176 101.280312 -0.075672
49.244865 101.280312 -0.135608
51.185555 101.280312 -0.035675
53.126244 101.280312 -0.426266
55.066933 101.280312 -0.315016
57.007622 101.280312 0.017612
58.948311 101.280312 0.121101
60.889008 101.280312 2.849434
62.829697 101.280312 -4.836082
64.770386 101.280312 -6.750748
66.711075 101.280312 -5.716442
68.651764 101.280312 0.047814
70.592453 101.280312 -0.015883
72.533142 101.280312 -0.152518
74.473831 101.280312 -0.088383
76.414520 101.280312 -0.011481
78.355209 101.280312 0.196011
80.295898 101.280312 0.236656
82.236588 101.280312 0.279281
84.177277 101.280312 0.364798
86.117981 101.280312 0.194742
