TITLE = "B00001"
VARIABLES = "position", "position(2)", "Avg Vx"
ZONE T="Frame 1" I=102, J=78, F=POINT
-55.552399 103.221001 0.000000
-53.611710 103.221001 9.419240
-51.671021 103.221001 9.558084
-49.730328 103.221001 9.489046
-47.789639 103.221001 9.859591
-45.848949 103.221001 9.749193
-43.908257 103.221001 9.703357
-41.967567 103.221001 9.768447
-40.026878 103.221001 9.085361
-38.086189 103.221001 0.000000
-36.145500 103.221001 0.000000
-34.204807 103.221001 0.000000
-32.264118 103.221001 0.000000
-30.323429 103.221001 0.000000
-28.382738 103.221001 0.000000
-26.442047 103.221001 0.000000
-24.501358 103.221001 0.000000
-22.560669 103.221001 0.000000
-20.619980 103.221001 0.000000
-18.679287 103.221001 0.000000
-16.738598 103.221001 0.000000
-14.797909 103.221001 0.000000
-12.857216 103.221001 9.646464
-10.916527 103.221001 9.751539
-8.975838 103.221001 9.777626
-7.035149 103.221001 9.522556
-5.094460 103.221001 9.856497
-3.153767 103.221001 9.414380
-1.213078 103.221001 10.064084
0.727612 103.221001 10.269414
2.668304 103.221001 9.635905
4.608994 103.221001 9.540454
6.549683 103.221001 9.966039
8.490372 103.221001 10.157369
10.431061 103.221001 10.118863
12.371750 103.221001 9.848961
14.312439 103.221001 9.956780
16.253136 103.221001 10.324740
18.193825 103.221001 10.765105
20.134514 103.221001 10.678555
22.075203 103.221001 10.276748
24.015892 103.221001 10.089428
25.956581 103.221001 10.010261
27.897270 103.221001 10.771186
29.837967 103.221001 10.675365
31.778656 103.221001 10.193715
33.719345 103.221001 10.047101
35.660034 103.221001 9.978544
37.600723 103.221001 10.341029
39.541412 103.221001 9.677921
41.482101 103.221001 9.120985
43.422791 103.221001 10.318939
45.363480 103.221001 10.703184
47.304176 103.221001 10.485981
49.244865 103.221001 10.706167
51.185555 103.221001 10.491666
53.126244 103.221001 10.956223
55.066933 103.221001 10.538195
57.007622 103.221001 0.000000
58.948311 103.221001 0.000000
60.889008 103.221001 0.000000
62.829697 103.221001 0.000000
64.770386 103.221001 0.000000
66.711075 103.221001 9.969096
68.651764 103.221001 10.279109
70.592453 103.221001 10.403949
72.533142 103.221001 10.524335
74.473831 103.221001 10.418558
76.414520 103.221001 10.028615
78.355209 103.221001 10.210530
80.295898 103.221001 10.834530
82.236588 103.221001 10.516224
84.177277 103.221001 10.780448
86.117981 103.221001 10.798760
88.058670 103.221001 10.586493
89.999359 103.221001 10.664758
91.940048 103.221001 10.895988
93.880737 103.221001 10.812415
95.821426 103.221001 10.530053
97.762115 103.221001 10.430239
99.702805 103.221001 10.379551
101.643494 103.221001 10.304700
103.584183 103.221001 10.425934
105.524872 103.221001 10.421534
107.465561 103.221001 10.234285
109.406250 103.221001 10.107215
111.346939 103.221001 10.272458
113.287628 103.221001 10.235991
115.228333 103.221001 10.130232
117.169022 103.221001 10.142428
119.109711 103.221001 10.295753
121.050400 103.221001 10.509382
122.991089 103.221001 10.499420
124.931778 103.221001 10.260108
126.872467 103.221001 10.322671
128.813156 103.221001 10.219970
130.753845 103.221001 10.299318
132.694534 103.221001 10.158034
134.635223 103.221001 10.134768
136.575912 103.221001 9.986630
138.516602 103.221001 9.968720
140.457291 103.221001 0.000000
-55.552399 101.280312 9.135453
-53.611710 101.280312 9.145906
-51.671021 101.280312 9.071737
-49.730328 101.280312 9.310879
-47.789639 101.280312 9.604398
-45.848949 101.280312 9.808891
-43.908257 101.280312 9.697732
-41.967567 101.280312 9.485881
-40.026878 101.280312 9.216629
-38.086189 101.280312 0.000000
-36.145500 101.280312 0.000000
-34.204807 101.280312 0.000000
-32.264118 101.280312 0.000000
-30.323429 101.280312 0.000000
-28.382738 101.280312 0.000000
