TITLE = "B00001"
VARIABLES = "position", "position(2)", "Avg Vx"
ZONE T="Frame 1" I=102, J=78, F=POINT
-55.552399 103.221001 0.000000
-53.611710 103.221001 9.563498
-51.671021 103.221001 9.549227
-49.730328 103.221001 9.539452
-47.789639 103.221001 9.353285
-45.848949 103.221001 9.567751
-43.908257 103.221001 9.673060
-41.967567 103.221001 9.687751
-40.026878 103.221001 9.524417
-38.086189 103.221001 0.000000
-36.145500 103.221001 0.000000
-34.204807 103.221001 0.000000
-32.264118 103.221001 0.000000
-30.323429 103.221001 0.000000
-28.382738 103.221001 0.000000
-26.442047 103.221001 0.000000
-24.501358 103.221001 0.000000
-22.560669 103.221001 0.000000
-20.619980 103.221001 0.000000
-18.679287 103.221001 0.000000
-16.738598 103.221001 0.000000
-14.797909 103.221001 9.707352
-12.857216 103.221001 9.754315
-10.916527 103.221001 9.746410
-8.975838 103.221001 9.817698
-7.035149 103.221001 9.711001
-5.094460 103.221001 9.850943
-3.153767 103.221001 9.965014
-1.213078 103.221001 9.862163
0.727612 103.221001 9.687158
2.668304 103.221001 9.735244
4.608994 103.221001 9.933456
6.549683 103.221001 9.950738
8.490372 103.221001 9.720003
10.431061 103.221001 9.591382
12.371750 103.221001 9.672424
14.312439 103.221001 9.799712
16.253136 103.221001 9.422615
18.193825 103.221001 9.733198
20.134514 103.221001 9.727013
22.075203 103.221001 9.770830
24.015892 103.221001 9.682859
25.956581 103.221001 9.832845
27.897270 103.221001 9.620560
29.837967 103.221001 9.693822
31.778656 103.221001 9.540692
33.719345 103.221001 9.742114
35.660034 103.221001 9.965250
37.600723 103.221001 9.726357
39.541412 103.221001 9.581833
41.482101 103.221001 9.781311
43.422791 103.221001 9.668365
45.363480 103.221001 9.884582
47.304176 103.221001 10.034803
49.244865 103.221001 10.042168
51.185555 103.221001 9.773289
53.126244 103.221001 9.771648
55.066933 103.221001 9.694822
57.007622 103.221001 10.053726
58.948311 103.221001 0.000000
60.889008 103.221001 0.000000
62.829697 103.221001 0.000000
64.770386 103.221001 0.000000
66.711075 103.221001 0.000000
68.651764 103.221001 0.000000
70.592453 103.221001 9.658835
72.533142 103.221001 9.769341
74.473831 103.221001 9.637671
76.414520 103.221001 9.715105
78.355209 103.221001 9.819514
80.295898 103.221001 9.793390
82.236588 103.221001 9.748472
84.177277 103.221001 9.520442
86.117981 103.221001 9.488138
88.058670 103.221001 9.696908
89.999359 103.221001 9.842686
91.940048 103.221001 9.720613
93.880737 103.221001 9.852565
95.821426 103.221001 9.696338
97.762115 103.221001 9.512279
99.702805 103.221001 9.656928
101.643494 103.221001 9.949254
103.584183 103.221001 9.929722
105.524872 103.221001 9.944423
107.465561 103.221001 9.626264
109.406250 103.221001 9.739294
111.346939 103.221001 9.745653
113.287628 103.221001 9.844135
115.228333 103.221001 9.983435
117.169022 103.221001 9.999357
119.109711 103.221001 9.947212
121.050400 103.221001 9.873228
122.991089 103.221001 9.754656
124.931778 103.221001 9.740941
126.872467 103.221001 9.830474
128.813156 103.221001 9.889164
130.753845 103.221001 9.820917
132.694534 103.221001 9.699811
134.635223 103.221001 9.778201
136.575912 103.221001 9.844440
138.516602 103.221001 9.735556
140.457291 103.221001 0.000000
-55.552399 101.280312 9.285066
-53.611710 101.280312 9.702300
-51.671021 101.280312 9.625932
-49.730328 101.280312 9.697858
-47.789639 101.280312 9.584079
-45.848949 101.280312 9.704842
-43.908257 101.280312 9.636156
-41.967567 101.280312 9.589600
-40.026878 101.280312 9.591231
-38.086189 101.280312 0.000000
-36.145500 101.280312 0.000000
-34.204807 101.280312 0.000000
-32.264118 101.280312 0.000000
-30.323429 101.280312 0.000000
-28.382738 101.280312 0.000000
