TITLE = "B00003"
VARIABLES = "position", "position(2)", "Length of Avg V"
ZONE T="Frame 1" I=102, J=78, F=POINT
-55.552399 103.221001 0.000000
-53.611710 103.221001 10.266004
-51.671021 103.221001 9.799161
-49.730328 103.221001 9.488945
-47.789639 103.221001 9.572593
-45.848949 103.221001 9.338818
-43.908257 103.221001 9.397531
-41.967567 103.221001 9.794272
-40.026878 103.221001 9.681434
-38.086189 103.221001 0.000000
-36.145500 103.221001 0.000000
-34.204807 103.221001 0.000000
-32.264118 103.221001 0.000000
-30.323429 103.221001 0.000000
-28.382738 103.221001 0.000000
-26.442047 103.221001 0.000000
-24.501358 103.221001 0.000000
-22.560669 103.221001 0.000000
-20.619980 103.221001 0.000000
-18.679287 103.221001 0.000000
-16.738598 103.221001 0.000000
-14.797909 103.221001 9.407424
-12.857216 103.221001 9.532300
-10.916527 103.221001 9.540893
-8.975838 103.221001 9.827323
-7.035149 103.221001 9.250433
-5.094460 103.221001 9.830767
-3.153767 103.221001 9.858004
-1.213078 103.221001 9.738264
0.727612 103.221001 9.782158
2.668304 103.221001 9.816487
4.608994 103.221001 9.916817
6.549683 103.221001 9.901249
8.490372 103.221001 9.738379
10.431061 103.221001 9.688829
12.371750 103.221001 9.199233
14.312439 103.221001 9.323850
16.253136 103.221001 9.654583
18.193825 103.221001 9.894749
20.134514 103.221001 9.430702
22.075203 103.221001 9.912896
24.015892 103.221001 9.729899
25.956581 103.221001 9.652082
27.897270 103.221001 9.300555
29.837967 103.221001 9.546068
31.778656 103.221001 9.670568
33.719345 103.221001 9.533770
35.660034 103.221001 9.625373
37.600723 103.221001 9.594812
39.541412 103.221001 9.401892
41.482101 103.221001 9.475873
43.422791 103.221001 9.716279
45.363480 103.221001 9.309260
47.304176 103.221001 9.528003
49.244865 103.221001 9.648855
51.185555 103.221001 9.627907
53.126244 103.221001 9.283064
55.066933 103.221001 9.462737
57.007622 103.221001 0.000000
58.948311 103.221001 0.000000
60.889008 103.221001 0.000000
62.829697 103.221001 0.000000
64.770386 103.221001 0.000000
66.711075 103.221001 0.000000
68.651764 103.221001 0.000000
70.592453 103.221001 0.000000
72.533142 103.221001 9.852138
74.473831 103.221001 9.616694
76.414520 103.221001 9.689143
78.355209 103.221001 9.766148
80.295898 103.221001 9.651544
82.236588 103.221001 9.590014
84.177277 103.221001 9.508659
86.117981 103.221001 9.678522
88.058670 103.221001 9.552165
89.999359 103.221001 9.608091
91.940048 103.221001 9.530690
93.880737 103.221001 9.758559
95.821426 103.221001 9.590572
97.762115 103.221001 9.583828
99.702805 103.221001 9.597958
101.643494 103.221001 9.925415
103.584183 103.221001 9.686134
105.524872 103.221001 9.698771
107.465561 103.221001 9.756999
109.406250 103.221001 9.575841
111.346939 103.221001 9.659693
113.287628 103.221001 9.732656
115.228333 103.221001 9.798742
117.169022 103.221001 9.826483
119.109711 103.221001 9.728237
121.050400 103.221001 9.767538
122.991089 103.221001 9.783749
124.931778 103.221001 9.467376
126.872467 103.221001 9.915290
128.813156 103.221001 9.662436
130.753845 103.221001 9.785143
132.694534 103.221001 9.710663
134.635223 103.221001 9.745953
