TITLE = "B00003"
VARIABLES = "position", "position(2)", "Length of Avg V"
ZONE T="Frame 1" I=102, J=78, F=POINT
-55.552399 103.221001 0.000000
-53.611710 103.221001 9.615035
-51.671021 103.221001 9.507776
-49.730328 103.221001 9.328136
-47.789639 103.221001 9.410060
-45.848949 103.221001 9.372167
-43.908257 103.221001 9.467892
-41.967567 103.221001 9.553557
-40.026878 103.221001 9.439641
-38.086189 103.221001 0.000000
-36.145500 103.221001 0.000000
-34.204807 103.221001 0.000000
-32.264118 103.221001 0.000000
-30.323429 103.221001 0.000000
-28.382738 103.221001 0.000000
-26.442047 103.221001 0.000000
-24.501358 103.221001 0.000000
-22.560669 103.221001 0.000000
-20.619980 103.221001 0.000000
-18.679287 103.221001 0.000000
-16.738598 103.221001 0.000000
-14.797909 103.221001 0.000000
-12.857216 103.221001 9.581752
-10.916527 103.221001 9.657086
-8.975838 103.221001 9.713371
-7.035149 103.221001 9.552410
-5.094460 103.221001 9.690274
-3.153767 103.221001 9.690543
-1.213078 103.221001 9.799666
0.727612 103.221001 9.507129
2.668304 103.221001 9.838726
4.608994 103.221001 9.919083
6.549683 103.221001 10.054296
8.490372 103.221001 10.001364
10.431061 103.221001 10.021878
12.371750 103.221001 9.867740
14.312439 103.221001 9.761422
16.253136 103.221001 9.744494
18.193825 103.221001 10.142737
20.134514 103.221001 10.333663
22.075203 103.221001 10.140166
24.015892 103.221001 10.075933
25.956581 103.221001 10.300516
27.897270 103.221001 10.213457
29.837967 103.221001 10.311759
31.778656 103.221001 10.273798
33.719345 103.221001 9.974743
35.660034 103.221001 10.215681
37.600723 103.221001 10.260012
39.541412 103.221001 10.264505
41.482101 103.221001 9.968271
43.422791 103.221001 10.335156
45.363480 103.221001 10.274440
47.304176 103.221001 10.504940
49.244865 103.221001 10.554205
51.185555 103.221001 10.444727
53.126244 103.221001 10.236673
55.066933 103.221001 10.286807
57.007622 103.221001 0.000000
58.948311 103.221001 0.000000
60.889008 103.221001 0.000000
62.829697 103.221001 0.000000
64.770386 103.221001 0.000000
66.711075 103.221001 10.441198
68.651764 103.221001 10.492368
70.592453 103.221001 10.438965
72.533142 103.221001 10.447870
74.473831 103.221001 10.318802
76.414520 103.221001 10.353225
78.355209 103.221001 10.385571
80.295898 103.221001 10.547425
82.236588 103.221001 10.509690
84.177277 103.221001 10.452659
86.117981 103.221001 10.496446
88.058670 103.221001 10.329210
89.999359 103.221001 10.391876
91.940048 103.221001 10.500806
93.880737 103.221001 10.329282
95.821426 103.221001 10.252422
97.762115 103.221001 10.159030
99.702805 103.221001 10.299406
101.643494 103.221001 10.193302
103.584183 103.221001 10.319897
105.524872 103.221001 10.290690
107.465561 103.221001 10.198861
109.406250 103.221001 10.179988
111.346939 103.221001 10.173351
113.287628 103.221001 10.192896
115.228333 103.221001 10.222533
117.169022 103.221001 10.058900
119.109711 103.221001 10.164645
121.050400 103.221001 10.203727
122.991089 103.221001 10.308769
124.931778 103.221001 10.241086
126.872467 103.221001 10.131753
128.813156 103.221001 10.054597
130.753845 103.221001 10.049215
132.694534 103.221001 10.061186
134.635223 103.221001 10.002667
